Year,Fuel Expense,Labor Expense,Net Profit,Operating Profit,Other Expense*,Pre-Tax Profit,Total Operating Expense,Total Operating Revenue
1977,3618.257801,7481.103285,668.714122,874.218349000,7449.610387,887.994015,18548.971473,19423.189822
1978,4040.031519,8569.217569,1176.463538,1320.030504,8315.245363,1353.999008,20924.494451,22244.524955
1979,6267.339501,9974.888406,324.859741,208.715808000,9960.302291,148.149073,26202.530198,26411.246006
1980,9443.360496,11301.496432,50.957491,-189.312623000,11394.95048,-156.621762,32139.807408,31950.494785
1981,10180.045018,12124.37428,-257.486974,-448.481629000,12534.217461,-699.919566,34838.636759,34390.15513
1982,9643.357811,12348.171332,-905.574912,-746.720832000,13574.721038,-1004.554975,35566.250181,34819.529349
1983,8958.86889,13112.687619,-152.091957,288.609632,14764.118688,-83.335978,36835.675197,37124.284829
1984,9321.649209,13544.919773,645.346903,1953.939526,17177.916286,1278.161608,40044.485268,41998.424794
1985,9282.569334,14350.718966,845.834964,1299.090685,19604.819208,986.420398,43238.107508,44537.198193
1986,6950.901865,15127.102006,-121.87554,890.709951000,21898.360872,121.742934,43976.364743,44867.074694
1987,7530.287216,16398.421097,163.13591,1841.993085000,25186.630544,691.63038,49115.338857,50957.331942
1988,7479.135396,17845.370051,1314.379111,2800.328798,28532.446943,2567.658043,53856.95239,56657.281188
1989,8500.782942,19437.189147,-84.921217,1239.244070000,31399.868532,792.613627,59337.840621,60577.084691
1990,11639.124509,21543.073296,-4114.179344,-2455.138111000,35090.100486,-4345.2644,68272.298291,65817.16018
1991,9557.679161,21751.390348,-2055.68788,-2292.911955,35671.561718,-2509.264231,66980.631227,64687.719272
1992,9123.934086,23085.721908,-4681.188996,-2796.936063,37895.189652,-3836.146926,70104.845646,67307.909583
1993,8781.395224,23929.724106,162.95423,944.237871000,39146.126924,-1789.134441,71857.246254,72801.484125
1994,8212.893024,24743.566805,-682.024185,1960.798226,39715.018909,-679.036923,72671.478738,74632.276964
1995,8436.206267,25457.297286,2000.776806,5144.985089000,40042.989996,3144.181832,73936.493549,79081.478638
1996,10311.25616,26476.794476,2422.191758,5367.133212,42578.170767,4047.651743,79366.221403,84733.354615
1997,10300.744449,27930.866534,4779.187158,7450.07815,44461.178084,7095.147523,82692.789067,90142.867217
1998,8342.469689,29424.570119,4425.322485,8041.827109000,46140.539881,7359.526254,83907.579689,91949.406798
1999,9020.375801,31393.635991,4686.181139,6947.654313000,48801.54088,7954.327008,89215.552672,96163.206985
2000,14099.131202,34490.106248,2237.762755,5701.869486,51019.661163,4776.124013,99608.898613,105310.768099
2001,13119.558692,36260.795502,-8008.156676,-10365.128327,52996.336564,-10655.963301,102376.690758,92011.562431
2002,10959.218709,35653.329723,-11761.550574,-9543.815276000,47186.10494,-14578.379039,93798.653372,84254.838096
2003,12852.730222,34147.886885,-2088.281163,-3048.978041000,48998.144288,-2025.066309,95998.761395,92949.783354
2004,18712.51466,33847.702501,-10046.008244,-3375.334342000,57549.172349,-8575.068275,110109.38951,106734.055168
2005,27221.360985,31158.899377,-28646.629862,-2004.762198000,62634.507884,-27605.420972,121014.768246,119010.006048
2006,31539.197356,30337.947597,16527.301766,5034.936479,64049.223507,16570.275352,125926.36846,130961.304939
2007,33876.837304,31045.199652,6306.09975,6674.818275,66624.574016,7908.534449,131546.610972,138221.429247
2008,47945.325493,30798.010964,-24500.243754,-5596.943630000,73245.906347,-26154.839183,151989.242804,146392.299174
2009,27419.106455,31026.394558,-2820.948454,1022.09177,63987.599701,-3439.873786,122433.100714,123455.192484
2010,32314.078904,32276.235417,2244.628298,8291.72641,65759.534536,3087.711695,130349.848857,138641.575267
2011,42712.495775,33333.813289,525.489792,5269.989073,71733.060791,846.892723,147779.369855,153049.358928
2012,43987.139016,35630.174657,131.48741,6036.596785,70720.0621,547.850134,150337.375773,156373.972558
2013,41662.863279,35787.206722,12183.268109,11308.764995,72836.664588,5179.440575,150286.734589,161595.499584
2014,42472.735541,38289.324452,7383.344244,14600.733281,73913.747922,9850.030367,154675.807915,169276.541196
2015,26174.393307,42642.271411,24793.822911,27993.589032,72064.245244,23886.093691,140880.909962,168874.498994
2016,21672.308571,46707.867834,14224.455985,25096.113111,74653.168789,21826.350551,143033.345194,168129.458305
2017,25267.799599,50305.797705,15666.216681,21624.384794,78354.949254,19324.233697,153928.546558,175552.931352
2018,33619.738274,52659.94334,11774.601188,17645.868912,83548.164896,15162.675624,169827.84651,187473.715422
2019,31995.155487,56623.609679,14869.988577,20862.465711,86589.404499,19353.291646,175208.169665,196070.635376
